qid,query,doc_id,label,term_overlap,doc_length,title_match,click_rate
0,machine learning basics,0,0,0.0,206,0,0.0
0,machine learning basics,1,0,0.0,126,0,0.0
0,machine learning basics,2,0,0.0,118,0,0.0
0,machine learning basics,3,0,0.0,187,0,0.0
0,machine learning basics,4,2,1.141105634651618,492,1,0.31734005628277073
0,machine learning basics,5,0,0.0,104,0,0.0
0,machine learning basics,6,1,0.41679773395068614,277,0,0.026435959361811246
0,machine learning basics,7,1,0.9427140570097683,142,0,0.18799489347822135
0,machine learning basics,8,2,1.6125959146584776,171,0,0.5053522754235982
0,machine learning basics,9,0,0.0,117,0,0.0
1,neural network guide,0,1,0.7624643900949086,324,1,0.22456753304263372
1,neural network guide,1,1,0.7455961607034568,242,1,0.01801786291823949
1,neural network guide,2,1,0.6566748794122665,295,1,0.04774696561051026
1,neural network guide,3,0,0.0,405,0,0.0
1,neural network guide,4,0,0.0,432,0,0.0
1,neural network guide,5,1,0.9989340724223832,222,1,0.18656913554144622
1,neural network guide,6,2,1.0237631693314553,83,1,0.44458910219178055
1,neural network guide,7,0,0.0,119,0,0.0
1,neural network guide,8,1,0.8008067506737702,248,1,0.19670894545452952
1,neural network guide,9,2,1.0254070497144119,413,1,0.115597364431179
2,python tutorial advanced,0,1,0.8866704095469211,307,1,0.25339380823848195
2,python tutorial advanced,1,0,0.0,406,0,0.0
2,python tutorial advanced,2,1,0.9539057718431019,452,1,0.24697545630620849
2,python tutorial advanced,3,1,0.943078506910271,202,0,0.053188427434597736
2,python tutorial advanced,4,1,0.4347538773744809,443,1,0.018494502351384976
2,python tutorial advanced,5,0,0.0,455,0,0.0
2,python tutorial advanced,6,0,0.0,265,0,0.0
2,python tutorial advanced,7,1,0.8758410667994045,172,1,0.1374460592850136
2,python tutorial advanced,8,2,1.1117638979482303,474,1,0.47332489305413966
2,python tutorial advanced,9,0,0.0,310,0,0.0
3,neural network basics,0,2,1.3760036514408356,159,1,0.09683444132424776
3,neural network basics,1,0,0.0,487,0,0.0
3,neural network basics,2,0,0.0,309,0,0.0
3,neural network basics,3,2,0.9711312362440037,495,1,0.1929360389138549
3,neural network basics,4,0,0.0,224,0,0.0
3,neural network basics,5,0,0.0,194,0,0.0
3,neural network basics,6,0,0.0,403,0,0.0
3,neural network basics,7,2,1.6775143444810956,316,0,0.08131803142011186
3,neural network basics,8,2,1.619591527953018,55,1,0.090667491774876
3,neural network basics,9,0,0.0,137,0,0.0
4,search engine advanced,0,0,0.0,132,0,0.0
4,search engine advanced,1,1,0.40239102575436597,464,1,0.2769834357408824
4,search engine advanced,2,0,0.0,66,0,0.0
4,search engine advanced,3,0,0.0,417,0,0.0
4,search engine advanced,4,0,0.0,327,0,0.0
4,search engine advanced,5,0,0.0,316,0,0.0
4,search engine advanced,6,1,0.3326038020430086,460,1,0.07021769797520497
4,search engine advanced,7,1,0.9087794160869287,131,1,0.14754591429183186
4,search engine advanced,8,0,0.0,295,0,0.0
4,search engine advanced,9,1,0.5686825065783345,486,1,0.17084480323784845
5,python tutorial example,0,1,0.4174160864023688,455,0,0.08510916504822566
5,python tutorial example,1,0,0.0,452,0,0.0
5,python tutorial example,2,0,0.0,442,0,0.0
5,python tutorial example,3,0,0.0,137,0,0.0
5,python tutorial example,4,0,0.0,320,0,0.0
5,python tutorial example,5,2,1.3087542799051253,263,0,0.2968462736176964
5,python tutorial example,6,0,0.0,68,0,0.0
5,python tutorial example,7,0,0.0,264,0,0.0
5,python tutorial example,8,0,0.0,450,0,0.0
5,python tutorial example,9,1,0.5541755493196314,177,1,0.13059278777172043
6,neural network advanced,0,0,0.0,448,0,0.0
6,neural network advanced,1,0,0.0,489,0,0.0
6,neural network advanced,2,0,0.0,252,0,0.0
6,neural network advanced,3,1,0.3668264583531821,357,1,0.14704839007805023
6,neural network advanced,4,1,0.5897455128153299,214,1,0.21085003742720476
6,neural network advanced,5,0,0.0,300,0,0.0
6,neural network advanced,6,0,0.0,380,0,0.0
6,neural network advanced,7,0,0.0,223,0,0.0
6,neural network advanced,8,0,0.0,185,0,0.0
6,neural network advanced,9,0,0.0,346,0,0.0
7,python tutorial example,0,0,0.0,87,0,0.0
7,python tutorial example,1,0,0.0,123,0,0.0
7,python tutorial example,2,2,1.9348956779853435,356,1,0.5944869983889853
7,python tutorial example,3,0,0.0,375,0,0.0
7,python tutorial example,4,0,0.0,281,0,0.0
7,python tutorial example,5,1,0.6393039903499544,484,1,0.12738807542212896
7,python tutorial example,6,1,0.9313712071240436,228,0,0.06955526692598692
7,python tutorial example,7,2,1.9141047014872723,140,1,0.24708011575661978
7,python tutorial example,8,0,0.0,247,0,0.0
7,python tutorial example,9,0,0.0,463,0,0.0
8,search engine guide,0,1,0.8422807564212911,372,0,0.09527001369395789
8,search engine guide,1,1,0.5793480443245543,168,0,0.09546449757511448
8,search engine guide,2,0,0.0,226,0,0.0
8,search engine guide,3,2,1.266184395403298,56,1,0.4893940243575089
8,search engine guide,4,2,1.703554126903287,120,1,0.10130935062679648
8,search engine guide,5,0,0.0,199,0,0.0
8,search engine guide,6,0,0.0,138,0,0.0
8,search engine guide,7,2,1.4776614567761088,56,1,0.3043192641975003
8,search engine guide,8,0,0.0,398,0,0.0
8,search engine guide,9,2,0.6735152586785954,277,1,0.2537789936741792
9,machine learning basics,0,1,0.7221609167777874,453,0,0.004680239810762166
9,machine learning basics,1,0,0.0,83,0,0.0
9,machine learning basics,2,0,0.0,218,0,0.0
9,machine learning basics,3,1,0.6056459660536744,139,0,0.2403065484355274
9,machine learning basics,4,0,0.0,186,0,0.0
9,machine learning basics,5,0,0.0,317,0,0.0
9,machine learning basics,6,1,0.7276330598410297,76,1,0.12314702271720634
9,machine learning basics,7,1,0.700770659020753,369,1,0.048026200370893654
9,machine learning basics,8,0,0.0,187,0,0.0
9,machine learning basics,9,1,0.5429733882230504,183,1,0.048622078022217206
10,data science example,0,1,0.33380006338699264,137,1,0.021745040667899417
10,data science example,1,0,0.0,283,0,0.0
10,data science example,2,0,0.0,122,0,0.0
10,data science example,3,0,0.0,283,0,0.0
10,data science example,4,2,1.5033378425954178,472,0,0.12802811551201895
10,data science example,5,2,1.6088957112851765,304,1,0.22188713314167408
10,data science example,6,1,0.8401745093364892,207,0,0.10951760832813487
10,data science example,7,1,0.4043739732890089,481,1,0.11560335849614421
10,data science example,8,2,1.8777985757079136,471,1,0.4241958679081845
10,data science example,9,0,0.0,87,0,0.0
11,search engine basics,0,1,0.3932649082639894,127,1,0.258492232117504
11,search engine basics,1,2,0.8405921350801717,486,0,0.3777797595215844
11,search engine basics,2,0,0.0,59,0,0.0
11,search engine basics,3,0,0.0,88,0,0.0
11,search engine basics,4,1,0.3250196525133503,141,1,0.005855695056072951
11,search engine basics,5,1,0.8952510214587166,413,0,0.28864821574917265
11,search engine basics,6,0,0.0,427,0,0.0
11,search engine basics,7,1,0.5351228533237232,165,1,0.11814067419740165
11,search engine basics,8,0,0.0,327,0,0.0
11,search engine basics,9,0,0.0,260,0,0.0
12,search engine basics,0,1,0.9615630084686593,367,1,0.04409046779177339
12,search engine basics,1,0,0.0,449,0,0.0
12,search engine basics,2,0,0.0,402,0,0.0
12,search engine basics,3,0,0.0,246,0,0.0
12,search engine basics,4,0,0.0,101,0,0.0
12,search engine basics,5,0,0.0,438,0,0.0
12,search engine basics,6,1,0.4842831530647269,454,0,0.059782537037042324
12,search engine basics,7,2,0.7405566020889858,225,1,0.4911255874109437
12,search engine basics,8,1,0.6393740519339645,295,0,0.15138718600077603
12,search engine basics,9,1,0.6968361465358162,455,0,0.18565491353260224
13,python tutorial guide,0,0,0.0,55,0,0.0
13,python tutorial guide,1,1,0.44945750251743655,383,1,0.07452682761546801
13,python tutorial guide,2,0,0.0,328,0,0.0
13,python tutorial guide,3,1,0.7520024873173965,478,0,0.21889825397514093
13,python tutorial guide,4,0,0.0,424,0,0.0
13,python tutorial guide,5,0,0.0,101,0,0.0
13,python tutorial guide,6,0,0.0,391,0,0.0
13,python tutorial guide,7,1,0.46103255416717626,379,1,0.280872038229709
13,python tutorial guide,8,2,1.2193152717337568,144,0,0.43645560207632905
13,python tutorial guide,9,1,0.897450660677451,430,1,0.19765386886972555
14,neural network advanced,0,0,0.0,223,0,0.0
14,neural network advanced,1,0,0.0,480,0,0.0
14,neural network advanced,2,0,0.0,240,0,0.0
14,neural network advanced,3,0,0.0,263,0,0.0
14,neural network advanced,4,0,0.0,94,0,0.0
14,neural network advanced,5,1,0.6496439499666466,217,0,0.06399147988203359
14,neural network advanced,6,2,1.3227388670058922,263,0,0.31195202969150615
14,neural network advanced,7,1,0.8713728442010449,233,1,0.0013824560996530731
14,neural network advanced,8,0,0.0,442,0,0.0
14,neural network advanced,9,0,0.0,274,0,0.0
15,neural network guide,0,1,0.35343639596254334,157,0,0.05185356860457223
15,neural network guide,1,1,0.989094639230486,85,1,0.25527229785793387
15,neural network guide,2,0,0.0,345,0,0.0
15,neural network guide,3,0,0.0,411,0,0.0
15,neural network guide,4,1,0.7643657076158117,271,1,0.03458284434116182
15,neural network guide,5,0,0.0,377,0,0.0
15,neural network guide,6,1,0.8459019249887323,68,0,0.2737501412302865
15,neural network guide,7,0,0.0,337,0,0.0
15,neural network guide,8,0,0.0,235,0,0.0
15,neural network guide,9,0,0.0,204,0,0.0
16,python tutorial advanced,0,1,0.925799908270942,462,0,0.05004188329385578
16,python tutorial advanced,1,1,0.5067290012856517,350,1,0.15347692489169648
16,python tutorial advanced,2,0,0.0,78,0,0.0
16,python tutorial advanced,3,1,0.8085509393731138,244,1,0.07792936866305065
16,python tutorial advanced,4,0,0.0,440,0,0.0
16,python tutorial advanced,5,1,0.3880738618662085,389,1,0.19809651359354144
16,python tutorial advanced,6,1,0.38101197258202646,405,0,0.12488765407724745
16,python tutorial advanced,7,0,0.0,87,0,0.0
16,python tutorial advanced,8,2,0.8075563756394097,462,1,0.15342089493735778
16,python tutorial advanced,9,0,0.0,92,0,0.0
17,data science basics,0,0,0.0,191,0,0.0
17,data science basics,1,0,0.0,225,0,0.0
17,data science basics,2,0,0.0,396,0,0.0
17,data science basics,3,0,0.0,453,0,0.0
17,data science basics,4,1,0.33261135990831703,285,1,0.06748721799248654
17,data science basics,5,1,0.5741821751459435,259,1,0.20593806098663278
17,data science basics,6,0,0.0,140,0,0.0
17,data science basics,7,1,0.43475561115660133,415,1,0.032996128357844455
17,data science basics,8,0,0.0,238,0,0.0
17,data science basics,9,1,0.7636322552407944,377,1,0.2930996434125396
18,machine learning example,0,1,0.8551162657818885,241,1,0.12869230182866823
18,machine learning example,1,0,0.0,470,0,0.0
18,machine learning example,2,1,0.6967363744800334,87,1,0.2799592912984522
18,machine learning example,3,0,0.0,251,0,0.0
18,machine learning example,4,0,0.0,281,0,0.0
18,machine learning example,5,1,0.4720340459154003,282,0,0.16217994210148248
18,machine learning example,6,2,0.8882786820666916,175,0,0.15798796314752842
18,machine learning example,7,1,0.8878085773797466,462,1,0.25088794997105845
18,machine learning example,8,0,0.0,90,0,0.0
18,machine learning example,9,1,0.5461854921246145,154,1,0.07837251926826179
19,data science basics,0,0,0.0,233,0,0.0
